year,city,city_avg_temp,glob_avg_temp
1987,Rio De Janeiro,24.55,8.99
1987,New York,10.32,8.99
1987,Shanghai,16.19,8.99
1988,Johannesburg,15.43,9.20
1988,Sydney,17.89,9.20
1988,Prague,9.19,9.20
1988,New York,9.93,9.20
1988,Shanghai,16.17,9.20
1988,Rio De Janeiro,24.00,9.20
1989,Prague,9.78,8.92
1989,Rio De Janeiro,24.07,8.92
1989,New York,9.66,8.92
1989,Johannesburg,15.14,8.92
1989,Sydney,17.26,8.92
1989,Shanghai,16.24,8.92
1990,Prague,9.76,9.23
1990,Sydney,17.47,9.23
1990,Shanghai,17.26,9.23
1990,Johannesburg,15.56,9.23
1990,New York,11.32,9.23
1990,Rio De Janeiro,24.64,9.23
1991,Johannesburg,15.56,9.18
1991,New York,11.36,9.18
1991,Prague,8.45,9.18
1991,Sydney,17.85,9.18
1991,Rio De Janeiro,24.25,9.18
1991,Shanghai,16.14,9.18
1992,Rio De Janeiro,24.24,8.84
1992,Shanghai,16.14,8.84
1992,Prague,9.72,8.84
1992,Johannesburg,16.48,8.84
1992,New York,9.57,8.84
1992,Sydney,16.89,8.84
1993,New York,10.04,8.87
1993,Sydney,17.42,8.87
1993,Prague,8.76,8.87
1993,Rio De Janeiro,24.65,8.87
1993,Shanghai,15.98,8.87
1993,Johannesburg,16.01,8.87
1994,Johannesburg,15.10,9.04
1994,Rio De Janeiro,24.71,9.04
1994,New York,10.00,9.04
1994,Prague,9.97,9.04
1994,Sydney,17.36,9.04
1994,Shanghai,17.34,9.04
1995,New York,10.24,9.35
1995,Shanghai,16.36,9.35
1995,Johannesburg,15.77,9.35
1995,Sydney,16.95,9.35
1995,Prague,9.02,9.35
1995,Rio De Janeiro,24.77,9.35
1996,Prague,7.28,9.04
1996,New York,9.81,9.04
1996,Johannesburg,15.23,9.04
1996,Rio De Janeiro,24.28,9.04
1996,Shanghai,16.21,9.04
1996,Sydney,17.05,9.04
1997,Sydney,17.51,9.20
1997,Johannesburg,15.38,9.20
1997,Shanghai,16.76,9.20
1997,Prague,8.82,9.20
1997,New York,10.00,9.20
1997,Rio De Janeiro,24.71,9.20
1998,New York,11.82,9.52
1998,Johannesburg,16.11,9.52
1998,Sydney,18.05,9.52
1998,Shanghai,17.56,9.52
1998,Prague,9.36,9.52
1998,Rio De Janeiro,24.78,9.52
1999,Rio De Janeiro,24.01,9.29
1999,Sydney,17.55,9.29
1999,New York,11.16,9.29
1999,Johannesburg,16.09,9.29
1999,Prague,9.64,9.29
1999,Shanghai,16.68,9.29
2000,Prague,10.30,9.20
2000,Rio De Janeiro,24.36,9.20
2000,Johannesburg,15.13,9.20
2000,Shanghai,16.90,9.20
2000,New York,9.97,9.20
2000,Sydney,17.57,9.20
2001,Shanghai,16.93,9.41
2001,New York,10.93,9.41
2001,Prague,8.98,9.41
2001,Johannesburg,15.68,9.41
2001,Sydney,17.85,9.41
2001,Rio De Janeiro,24.99,9.41
2002,Shanghai,17.22,9.57
2002,Johannesburg,15.88,9.57
2002,Prague,9.73,9.57
2002,New York,11.25,9.57
2002,Sydney,17.73,9.57
2002,Rio De Janeiro,25.18,9.57
2003,Prague,9.51,9.53
2003,Shanghai,16.74,9.53
2003,Rio De Janeiro,24.90,9.53
2003,Johannesburg,16.34,9.53
2003,New York,9.84,9.53
2003,Sydney,17.59,9.53
2004,Rio De Janeiro,24.24,9.32
2004,New York,10.39,9.32
2004,Shanghai,17.24,9.32
2004,Sydney,17.87,9.32
2004,Johannesburg,15.49,9.32
2004,Prague,9.17,9.32
2005,Johannesburg,16.29,9.70
2005,Prague,9.12,9.70
2005,Rio De Janeiro,24.79,9.70
2005,Sydney,18.03,9.70
2005,New York,10.68,9.70
2005,Shanghai,16.75,9.70
2006,Sydney,17.75,9.53
2006,Shanghai,17.41,9.53
2006,Prague,9.67,9.53
2006,Johannesburg,15.26,9.53
2006,New York,11.52,9.53
2006,Rio De Janeiro,24.57,9.53
2007,Rio De Janeiro,24.78,9.73
2007,Johannesburg,15.90,9.73
2007,Prague,10.25,9.73
2007,New York,10.63,9.73
2007,Shanghai,17.63,9.73
2007,Sydney,18.02,9.73
2008,Rio De Janeiro,24.26,9.43
2008,Sydney,17.32,9.43
2008,Johannesburg,15.75,9.43
2008,New York,10.64,9.43
2008,Prague,9.91,9.43
2008,Shanghai,16.72,9.43
2009,Shanghai,17.01,9.51
2009,Johannesburg,15.44,9.51
2009,New York,10.14,9.51
2009,Rio De Janeiro,24.98,9.51
2009,Sydney,18.18,9.51
2009,Prague,9.47,9.51
2010,New York,11.36,9.70
2010,Rio De Janeiro,24.95,9.70
2010,Sydney,18.00,9.70
2010,Prague,8.13,9.70
2010,Shanghai,16.75,9.70
2010,Johannesburg,16.11,9.70
2011,Prague,9.84,9.52
2011,Rio De Janeiro,24.32,9.52
2011,Sydney,17.71,9.52
2011,Johannesburg,15.49,9.52
2011,Shanghai,16.52,9.52
2011,New York,11.27,9.52
2012,Sydney,17.47,9.51
2012,Rio De Janeiro,24.84,9.51
2012,Shanghai,16.47,9.51
2012,Prague,9.51,9.51
2012,Johannesburg,15.89,9.51
2012,New York,11.97,9.51
2013,Johannesburg,14.98,9.61
2013,Sydney,18.09,9.61
2013,Rio De Janeiro,25.19,9.61
2013,New York,12.16,9.61
2013,Shanghai,17.86,9.61
2013,Prague,9.57,9.61
